node_id,label,attention_centrality,trade_centrality,amplification_ratio
1622,MLT_T,0.02111204079868426,1.1063783859914385e-12,21088708.707182165
2350,HRV_T,0.02111186663226033,1.9983022574587415e-12,21069762.877538025
2025,SVN_C19,0.021112075073296682,2.263647602572342e-11,20644750.66970487
1962,SVK_A03,0.021111982700674683,5.1335284741313635e-11,20081113.04460726
1991,SVK_H50,0.021111705141710523,7.050923811335022e-11,19721179.780678473
1492,LVA_J58,0.02111027962450168,1.2840382006677004e-10,18708089.470356934
713,EST_K65,0.02111051310694426,1.5848944608379437e-10,18222447.496873718
209,BGR_K65,0.021112038007629706,1.9579609557032329e-10,17655215.70595238
1380,LTU_J58,0.021110146056392262,2.1703056400609124e-10,17345617.013022367
1391,LTU_M73,0.021110982576620398,3.0938480869136485e-10,16122825.342474602
2052,SVN_J58,0.021111959302929143,3.120962139176152e-10,16090252.436514337
417,CYP_E37_E39,0.021098309590177663,3.5470572667459633e-10,15574090.501534823
1386,LTU_K66,0.021110825689226415,3.7262426885713e-10,15379901.236048844
1490,LVA_H53,0.021110265945679753,3.857376626945608e-10,15233955.541506272
2328,HRV_H51,0.021111900702679376,4.0341475801149117e-10,15043236.920632774
2057,SVN_K65,0.02111207720031983,4.6013445121721097e-10,14458995.322465122
1487,LVA_H50,0.021110431363072894,5.268349947597225e-10,13826269.004526606
1592,MLT_E36,0.021110631742781202,5.528894978469816e-10,13594419.803888325
1381,LTU_J59_J60,0.02111109369929831,5.803120012196622e-10,13358813.755135106
1497,LVA_K65,0.021110679911171323,5.856811749971372e-10,13313319.375951748
1611,MLT_L68,0.021111598180573066,6.002978481192237e-10,13192293.050562317
954,HUN_A03,0.021111802021621315,6.098467705634475e-10,13114168.63247933
1378,LTU_H53,0.021111099267749546,6.214716951976267e-10,13019714.9480161
438,CYP_M72,0.021108591916438612,6.921570784744001e-10,12474369.067125559
1850,ROU_A03,0.02111208298327316,7.583405833689307e-10,12006822.33178228
1994,SVK_H53,0.02111207624457436,7.702330180042457e-10,11926156.630145809
2058,SVN_K66,0.0211120599177462,7.743607104063738e-10,11898403.63006629
937,GRC_K65,0.021111996134468375,8.427788158679411e-10,11456608.873878721
210,BGR_K66,0.021112092142508098,8.938258101458167e-10,11147853.213006193
2297,HRV_A02,0.021112058720685077,9.037361757416104e-10,11089802.772939777
192,BGR_E36,0.02111205118549312,9.662067496380232e-10,10737452.299652532
87,AUT_H50,0.021111878329899057,1.0417041643438531e-09,10340321.92253662
2049,SVN_H52,0.02111183426003518,1.0609784040842836e-09,10243598.000928793
2325,HRV_G47,0.02111199566847296,1.1043493552100461e-09,10032552.634952413
1496,LVA_K64,0.021110547573959308,1.125581567155491e-09,9931657.246261312
2347,HRV_P85,0.02111198247997445,1.1476157775655436e-09,9830428.096363772
2050,SVN_H53,0.021112080396511235,1.173643707495065e-09,9712760.340488859
1834,PRT_K66,0.021112178084416268,1.1790588505405231e-09,9688668.151013598
1570,MLT_A03,0.021111752971868108,1.1992600946413322e-09,9599479.853841996
401,CYP_C19,0.021109457591743715,1.1993185174111213e-09,9598181.175045187
2063,SVN_M73,0.021112034479728155,1.2445363203513136e-09,9405966.96444801
1826,PRT_H53,0.021112188595750838,1.2547069596472641e-09,9363606.434715454
1604,MLT_J58,0.021111104773072036,1.367167875295185e-09,8918296.41378497
1610,MLT_K66,0.021111194372488602,1.4239998812279454e-09,8709239.029250335
2330,HRV_H53,0.021111467939746893,1.504511173367405e-09,8429376.62416645
208,BGR_K64,0.02111206420236093,1.566740944723982e-09,8225241.524960847
439,CYP_M73,0.021100099998365637,1.5654757358201766e-09,8224634.403575828
1582,MLT_C24,0.021111758438016028,1.5823702179854113e-09,8175341.510283517
1385,LTU_K65,0.0211109152145137,1.7867053538249602e-09,7575582.106496261
58,AUT_A03,0.021111951125176533,1.8536483799200674e-09,7398231.4267351655
2001,SVK_K65,0.021112137834205607,1.9302279451134856e-09,7204947.270198787
479,CZE_H50,0.02111188943792826,1.9597574937106814e-09,7132979.469699745
1501,LVA_M71,0.021110114659732226,2.0815324199872395e-09,6850524.928054998
1823,PRT_H50,0.021111799589042544,2.1175144985049255e-09,6771997.2430496095
1840,PRT_M74_M75,0.02111218436355376,2.1629191118291463e-09,6674904.927095774
1609,MLT_K65,0.021110766298443766,2.227386744195451e-09,6541133.112234564
1506,LVA_O84,0.02110994590345069,2.7407228114809535e-09,5643279.913352696
1833,PRT_K65,0.021112097908348615,2.749503812013383e-09,5630637.803515656
1597,MLT_G47,0.021110919765991477,2.787884558053088e-09,5573274.328307975
1457,LVA_A02,0.02111026400877244,2.8581903980675193e-09,5471545.421746449
1738,POL_A03,0.02111038211953251,3.12526126010371e-09,5117344.281608431
170,BGR_A03,0.021111313558236092,3.158477247241183e-09,5076693.294941498
1828,PRT_J58,0.0211120344183438,3.161925527523198e-09,5072660.305603252
1793,PRT_A02,0.02111223120299728,3.2603680336836322e-09,4955494.698128946
1465,LVA_C19,0.02109877779160837,3.364445630822171e-09,4834240.033283173
215,BGR_M73,0.02111212332464258,3.3690830099832397e-09,4832163.471465737
983,HUN_H50,0.02111162828843036,3.493555518595239e-09,4698201.279825338
1961,SVK_A02,0.02111211886883807,3.772108097770465e-09,4424065.514924459
1794,PRT_A03,0.021111938495314318,4.19225521100167e-09,4066044.067052221
1493,LVA_J59_J60,0.02111060274786875,4.3118862896124695e-09,3974219.626867969
617,ESP_A02,0.021112229418982418,4.374757518577144e-09,3928033.840784588
1373,LTU_G47,0.02111108434329122,4.416657624407176e-09,3897437.4618336186
2047,SVN_H50,0.02111131741955378,4.4372282939780675e-09,3882735.1507265847
703,EST_H50,0.021110025722587116,4.796056219817724e-09,3642136.121869948
1393,LTU_N,0.021111110285236954,5.016475368483631e-09,3508883.3564954353
2354,CHE_A03,0.021112045491244753,5.0800646760101416e-09,3472338.966153711
1567,MEX_U,0.02111278236416125,5.183465020119127e-09,3414393.4340158203
2333,HRV_J59_J60,0.021112052842361104,5.420513397944774e-09,3288218.7971321945
704,EST_H51,0.02110989493842864,5.439079925230198e-09,3278402.3779102196
953,HUN_A02,0.02111176686674073,5.608898579773457e-09,3194445.58150027
1996,SVK_J58,0.021111954401037823,5.64081356187487e-09,3179121.685066157
2007,SVK_M73,0.021112136706432996,5.700738036122065e-09,3150718.1138290367
561,DNK_A02,0.020651350012593554,5.587343447174737e-09,3135004.2969826884
1408,LUX_C18,0.021111862081497745,5.871027529914234e-09,3072591.688737022
2018,SVN_A03,0.02111211416199732,6.008630846913878e-09,3012302.206114002
1882,ROU_H53,0.021111702703829366,6.081643679174613e-09,2981186.806378544
2341,HRV_M71,0.021111382525823248,6.232812763943852e-09,2918834.3753435966
1489,LVA_H52,0.021101390899754862,6.25638786556804e-09,2907974.5033864747
1499,LVA_L68,0.021110436257936196,6.590507804301772e-09,2781162.5786053822
1384,LTU_K64,0.0211110365683074,6.693014745413254e-09,2744182.517119738
1401,LUX_A02,0.02111198333834357,6.9216138420533925e-09,2665111.397663263
1825,PRT_H52,0.02111210146539944,7.106673197725095e-09,2604286.7339618355
1681,NOR_A02,0.02110916956742315,7.1732349152763976e-09,2582719.056314961
2345,HRV_N,0.02111202790771923,7.332715246436279e-09,2533631.2694410607
408,CYP_C26,0.02110605777485701,7.389221999569813e-09,2515854.006001903
1603,MLT_I,0.021111685627420378,7.492113065141174e-09,2486034.449315167
1872,ROU_E36,0.02111200483949653,7.501093029439593e-09,2483445.9247046104
1968,SVK_C18,0.021111657609205872,7.653591917476947e-09,2439640.996540222
2056,SVN_K64,0.021112094897860423,8.384874694655381e-09,2249587.297088112
2338,HRV_K66,0.021111806426471324,8.548792808261992e-09,2210939.838196568
1838,PRT_M72,0.02111212435762985,8.946673664955184e-09,2122531.116308114
2329,HRV_H52,0.021112038580933894,9.156888411374646e-09,2078593.140522311
1966,SVK_C16,0.021111935518180896,9.373362722838259e-09,2035206.526780397
1843,PRT_P85,0.021112169431391093,9.578360784241151e-09,1995788.3704290383
919,GRC_D35,0.021112055160378864,9.678399094808322e-09,1977080.5504584697
57,AUT_A02,0.02111188138572373,9.942410669126285e-09,1929362.9186565196
195,BGR_G45,0.021112092526087364,1.0031702386058388e-08,1913765.5991126392
601,DNK_K65,0.02105533266818903,1.00302268733637e-08,1908875.7565843381
2000,SVK_K64,0.021112087099918287,1.059031144358816e-08,1821528.886663148
945,GRC_N,0.021111972268564774,1.08438238829262e-08,1782530.0745141387
1372,LTU_G46,0.021110945649731847,1.0873535320621165e-08,1777983.1431560034
171,BGR_B,0.02111209211180096,1.089215915164751e-08,1775295.1203042169
1687,NOR_C17,0.02110851437489971,1.10176218632135e-08,1756463.5179206175
1836,PRT_M69_M70,0.021112200843715432,1.114141813170044e-08,1738857.9006757762
2346,HRV_O84,0.021112017782249436,1.1659786555411788e-08,1667644.0546483384
1993,SVK_H52,0.0211119607940264,1.1789707744725546e-08,1650699.2353076194
2340,HRV_M69_M70,0.02111201211144375,1.1904144556563007e-08,1636064.4457215294
426,CYP_H53,0.021102513849929366,1.2017761310286913e-08,1621055.521524558
897,GRC_A02,0.021111810681696774,1.2051027793925904e-08,1617635.8686112405
2343,HRV_M73,0.021111404668116313,1.2306070306674493e-08,1586599.512970149
1837,PRT_M71,0.021112183802240687,1.2568188659536653e-08,1556006.0618262112
2012,SVK_Q,0.021112057361857315,1.2581248941773587e-08,1554500.4330875825
1849,ROU_A02,0.021112087184574635,1.276251841994575e-08,1534027.8966658672
1832,PRT_K64,0.021112086055730814,1.284191970740081e-08,1525228.1838076902
708,EST_J58,0.02111068851874057,1.3444906720049405e-08,1461462.432944556
1421,LUX_C31_C32,0.021111997900306795,1.3672630403176723e-08,1438869.3315505243
1963,SVK_B,0.02111205978968957,1.4091715707388356e-08,1398917.1409685297
1420,LUX_C30,0.02111170874832525,1.4285600897651814e-08,1381150.0699045756
2066,SVN_O84,0.021112100043822298,1.4585790510269343e-08,1354573.579691817
412,CYP_C30,0.02110487787720241,1.4775200155619933e-08,1337851.6702803147
1480,LVA_E36,0.021110512836324726,1.4845077129843603e-08,1332307.3572525487
1575,MLT_C17,0.021111760326865375,1.485046444464039e-08,1331933.231395249
1167,IRL_M73,0.02111225827872464,1.4942213413376372e-08,1324299.062576237
429,CYP_J59_J60,0.02110224977575217,1.5471481193531403e-08,1281138.5647600011
1995,SVK_I,0.021112014352815185,1.5610979557326004e-08,1270967.4513748994
730,FIN_A03,0.021108639799614283,1.5645474154056643e-08,1268130.8807577542
907,GRC_C21,0.021112004031761975,1.578247811744354e-08,1257978.9399408405
1835,PRT_L68,0.021112123353532783,1.5848101313557323e-08,1253086.2060132727
2326,HRV_H49,0.021111947273400048,1.6179511929301416e-08,1228902.6230944002
2305,HRV_C19,0.02111206357372458,1.680355029713491e-08,1185834.4667985744
1842,PRT_O84,0.021112109388774853,1.7383631698005117e-08,1148418.8617130432
1992,SVK_H51,0.021111941103508124,1.745163354460086e-08,1144177.3462754304
942,GRC_M72,0.021111863884250005,1.7716935385332213e-08,1127955.161975641
1574,MLT_C16,0.02111196789033079,1.771845775194564e-08,1127868.9820552317
1795,PRT_B,0.02111215218447658,1.8543393592584176e-08,1080270.5315461524
1997,SVK_J59_J60,0.021112159474669597,1.901727775100788e-08,1054696.834268915
1618,MLT_O84,0.021111521690814913,1.9458447877582635e-08,1031921.962855642
217,BGR_N,0.02111209182432649,1.953793131484891e-08,1027956.1023296666
1458,LVA_A03,0.021110475207397488,1.9544747089661898e-08,1027536.3875382172
1346,LTU_A03,0.02111082775241735,2.0000393280531148e-08,1005258.6858927343
203,BGR_I,0.021112030890119076,2.095022764299044e-08,961813.755806809
393,CYP_A02,0.02110993311637378,2.1330504577416065e-08,945340.6233248885
2334,HRV_J61,0.02111205719585294,2.1334257507906843e-08,945276.8773879672
1821,PRT_G47,0.021112164507588967,2.1360952937607838e-08,944153.1658555306
213,BGR_M71,0.021111563055673015,2.200400231512007e-08,917734.3475485919
935,GRC_J62_J63,0.021111737960411412,2.2346786404453232e-08,904267.4051442258
211,BGR_L68,0.02111209036613271,2.333774210353636e-08,867462.9830622231
2185,TWN_A02,0.021112902061144447,2.362210032956788e-08,857477.7041173311
1375,LTU_H50,0.02111088651708441,2.3625224146344764e-08,857287.0805814775
2386,CHE_H53,0.02111188064183095,2.4549433451769138e-08,826315.0211015377
90,AUT_H53,0.02111210528914324,2.4635212052204507e-08,823558.8317408789
1392,LTU_M74_M75,0.021110342783520773,2.5435453054756228e-08,798561.7927483423
435,CYP_L68,0.020700172477916674,2.494881933817475e-08,797730.8026289851
394,CYP_A03,0.02110989990354301,2.574623298428174e-08,789266.2834406962
984,HUN_H51,0.02110743311239894,2.5995480227812525e-08,781887.6691310966
1899,ROU_P85,0.021112070749764435,2.606983956601139e-08,779911.1885492123
1896,ROU_M74_M75,0.021112043321339556,2.6467784173980713e-08,768611.0822633546
1845,PRT_R_S,0.02111216078924036,2.673960873914413e-08,761083.582244201
1620,MLT_Q,0.02111166054517672,2.7170149050203758e-08,749433.7537068877
2003,SVK_L68,0.021112131325934296,2.7294731981417448e-08,746150.6028683954
1829,PRT_J59_J60,0.021112199041678797,2.8858143086267872e-08,707083.4572893636
1895,ROU_M73,0.021112045940612872,2.9276505630734603e-08,697307.8795190086
943,GRC_M73,0.021111761372383967,2.934184682982101e-08,695796.8475285625
1432,LUX_H51,0.021111925282288422,2.998284330860698e-08,681406.9668171341
172,BGR_C10_C12,0.02111200812267609,3.028908528608116e-08,674740.3425074778
949,GRC_R_S,0.021112039092972594,3.034737233998076e-08,673486.7236717663
958,HUN_C16,0.021111303075045332,3.203901896710663e-08,638980.9302771238
650,ESP_H53,0.021112223384683444,3.2307622219823756e-08,633855.6155509066
1856,ROU_C18,0.021111931481582226,3.235854536481599e-08,632879.2592931662
1839,PRT_M73,0.02111219228631421,3.249841722073513e-08,630244.4723640855
904,GRC_C18,0.021111917341286677,3.297518169410978e-08,621392.3307714587
199,BGR_H50,0.021111445108972195,3.309829021515654e-08,619135.0057660148
411,CYP_C29,0.02110563675111904,3.3234373322585544e-08,616504.2529694841
1625,NLD_A02,0.02111207369179784,3.404699327105279e-08,602393.2931569181
2065,SVN_N,0.02111199001643738,3.41448421592824e-08,600713.7525544786
1841,PRT_N,0.021112176857555728,3.424919653333833e-08,598940.6549334548
2324,HRV_G46,0.021111590089712157,3.426941175183477e-08,598580.7259349568
2218,TWN_H53,0.02111278479812096,3.45472617314787e-08,593935.616127209
1400,LUX_A01,0.021112038984301328,3.4700393905764745e-08,591367.1160051891
1144,IRL_E36,0.021112306381540047,3.4964389101169936e-08,587033.6438122136
1884,ROU_J58,0.021111920725036933,3.5132563232497796e-08,584290.7016917297
1407,LUX_C17,0.021111891051216126,3.518223993786566e-08,583487.6748225302
2045,SVN_G47,0.021112101475006875,3.6251524423431763e-08,566744.63130768
1612,MLT_M69_M70,0.02111149014701415,3.65252223195594e-08,562594.6721176422
1688,NOR_C18,0.021108330783186805,3.6800933409807075e-08,558407.6603174687
1599,MLT_H50,0.0211114719985118,3.815403189082693e-08,539190.2437372695
437,CYP_M71,0.021103209441971797,3.8470284130857165e-08,534660.6923833538
1619,MLT_P85,0.021111428630411485,3.879594699528821e-08,530491.9275551114
905,GRC_C19,0.021111953540748477,3.9190100714416064e-08,525302.3298141595
939,GRC_L68,0.02111165129385289,3.956864563601054e-08,520393.29789982544
196,BGR_G46,0.02111182313400984,3.970216359251063e-08,518690.43978523306
1799,PRT_C17,0.021112016822186278,3.9754468289262026e-08,518029.4997922685
1376,LTU_H51,0.02111063233919508,3.985472584628851e-08,516724.3666894633
1367,LTU_D35,0.021111199481811543,4.017031031900785e-08,512777.27367686975
941,GRC_M71,0.021111712698189986,4.038854737355472e-08,510085.8579946043
714,EST_K66,0.021110800795486696,4.0427974735253346e-08,509578.3931122839
1855,ROU_C17,0.02111190903386337,4.229232547676683e-08,487659.3900041993
938,GRC_K66,0.02111208003216821,4.277358231916681e-08,482301.85681933607
1822,PRT_H49,0.021111932802718017,4.2881623462419766e-08,481111.0240895777
902,GRC_C16,0.021111854982539008,4.314545207431727e-08,478233.9740682225
1901,ROU_R_S,0.021111755130586364,4.353118037047192e-08,474089.27755675005
416,CYP_E36,0.02110642390515047,4.443622092166025e-08,464528.5958429845
1404,LUX_C10_C12,0.02111205312405661,4.4554512798592557e-08,463445.9206576979
1827,PRT_I,0.0211121787079581,4.479680498446614e-08,460996.7598202355
214,BGR_M72,0.021112054129904804,4.515463811862785e-08,457419.9905032741
706,EST_H53,0.02111051486560223,4.5174260976838346e-08,457192.2629404195
1177,ITA_A02,0.02111222282964746,4.712485544707325e-08,438696.85702986177
569,DNK_C19,0.02110288047589817,4.754890338272164e-08,434672.64975152037
1424,LUX_E36,0.021112076319666818,4.882579848378584e-08,423717.77195978194
107,AUT_P85,0.02111199388396755,4.893680841144848e-08,422774.1931366088
1815,PRT_D35,0.021112176766198636,4.914943337981727e-08,420985.3500497429
1140,IRL_C30,0.02111176247517138,4.9155841530756866e-08,420923.3028664288
103,AUT_M73,0.02111193828878358,4.9207804308814716e-08,420491.1682440785
1621,MLT_R_S,0.021110987682794572,4.9774952681520485e-08,415775.62494662654
1964,SVK_C10_C12,0.0211118820860922,5.001052905379302e-08,413873.02734752506
647,ESP_H50,0.021112132266889096,5.0223319592956486e-08,412158.6112469005
1425,LUX_E37_E39,0.021111270078035278,5.035946176435628e-08,411049.28581410105
1737,POL_A02,0.021111835176674264,5.100087228054362e-08,405990.0199899793
1772,POL_J58,0.0211117947835674,5.143833477284998e-08,402602.3113628326
1374,LTU_H49,0.02111086320881594,5.150901513439386e-08,402042.6426735272
1767,POL_H50,0.021111269335191064,5.2368924824731674e-08,395572.31862029
1883,ROU_I,0.021112065858903673,5.41848434191122e-08,382570.00565470336
1435,LUX_I,0.021111819033628444,5.506720458261204e-08,376544.88378355483
1891,ROU_L68,0.021111759093689994,5.6168911319769615e-08,369287.4082489187
