event,layer,pearson_r,pearson_p,spearman_r,spearman_p,n_edges
us_232_steel_2018,layer1,0.049687626328213705,7.656002317641584e-87,-0.07102692385715453,1.2844721549479584e-175,157838
us_232_steel_2018,layer2,0.05146738375950966,4.815379469512872e-93,-0.06632637942990804,2.3531411669090034e-153,157838
us_232_aluminum_2018,layer1,0.04968761398826411,7.656746996596094e-87,-0.07102692178729175,1.284502149186785e-175,157838
us_232_aluminum_2018,layer2,0.05146737158721281,4.815858038504976e-93,-0.06632638122436144,2.3530967034066796e-153,157838
us_301_list1_2018,layer1,0.05046433668662224,1.6013312397518822e-89,-0.06772989155121599,7.671839053992679e-160,157838
us_301_list1_2018,layer2,0.05211348669008599,2.3841965504099906e-95,-0.06385399207102023,2.925770956332876e-142,157838
us_301_list2_2018,layer1,0.05046429544877223,1.6018599501246862e-89,-0.06773044530493852,7.626287445440732e-160,157838
us_301_list2_2018,layer2,0.05211361921236477,2.3815859795847082e-95,-0.06385364183925529,2.936175036770547e-142,157838
eu_retaliation_2018,layer1,0.05043630129821243,2.0041103954484337e-89,-0.06799838160574868,4.250276873133649e-161,157838
eu_retaliation_2018,layer2,0.05211459982444645,2.3623572146321966e-95,-0.0639280670557172,1.3803619016477649e-142,157838
uk_global_tariff_2021,layer1,0.050627673994095755,4.322203255749389e-90,-0.06673665242481337,3.087346557926944e-155,157838
uk_global_tariff_2021,layer2,0.052564018641688325,5.659995066763077e-97,-0.06238196841817846,7.423767938730024e-136,157838
